plate,mjd,fiber,version,url
2316,53757,561,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2316/spec-2316-53757-0561.fits
2699,54414,443,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2699/spec-2699-54414-0443.fits
9599,58131,1000,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/9599/spec-9599-58131-1000.fits
7455,56768,451,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7455/spec-7455-56768-0451.fits
7139,56568,265,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7139/spec-7139-56568-0265.fits
982,52466,169,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/982/spec-982-52466-0169.fits
924,52409,166,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/924/spec-924-52409-0166.fits
2382,54169,546,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2382/spec-2382-54169-0546.fits
2544,53884,319,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2544/spec-2544-53884-0319.fits
3615,55445,112,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/3615/spec-3615-55445-0112.fits
2608,54474,542,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2608/spec-2608-54474-0542.fits
2019,53430,224,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2019/spec-2019-53430-0224.fits
4403,55536,758,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4403/spec-4403-55536-0758.fits
2865,54503,183,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2865/spec-2865-54503-0183.fits
7055,56576,114,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7055/spec-7055-56576-0114.fits
7900,57358,89,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7900/spec-7900-57358-0089.fits
8195,57391,60,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/8195/spec-8195-57391-0060.fits
1904,53682,412,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1904/spec-1904-53682-0412.fits
1568,53169,546,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1568/spec-1568-53169-0546.fits
972,52435,368,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/972/spec-972-52435-0368.fits
4988,55825,159,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4988/spec-4988-55825-0159.fits
